column,code,topic,topic_name,statement
T01. Artificial Intelligence will improve society more than it will create problems.,T01,T,Technology & AI,Artificial Intelligence will improve society more than it will create problems.
T02. Generative AI tools should be allowed as learning aids in higher education.,T02,T,Technology & AI,Generative AI tools should be allowed as learning aids in higher education.
T03. Students should disclose the use of AI in assignments and reports.,T03,T,Technology & AI,Students should disclose the use of AI in assignments and reports.
T04. Every engineering student should receive formal education in AI.,T04,T,Technology & AI,Every engineering student should receive formal education in AI.
T05. Artificial Intelligence will significantly accelerate scientific discovery.,T05,T,Technology & AI,Artificial Intelligence will significantly accelerate scientific discovery.
T06. Most repetitive jobs will eventually be replaced by intelligent automation.,T06,T,Technology & AI,Most repetitive jobs will eventually be replaced by intelligent automation.
T07. Robots should replace humans in hazardous occupations whenever possible.,T07,T,Technology & AI,Robots should replace humans in hazardous occupations whenever possible.
T08. AI-assisted diagnosis should become routine in healthcare.,T08,T,Technology & AI,AI-assisted diagnosis should become routine in healthcare.
T09. Autonomous vehicles will ultimately make transportation safer.,T09,T,Technology & AI,Autonomous vehicles will ultimately make transportation safer.
T10. Protection of personal data is more important than technological convenience.,T10,T,Technology & AI,Protection of personal data is more important than technological convenience.
T11. Technology companies should explain how recommendation algorithms work.,T11,T,Technology & AI,Technology companies should explain how recommendation algorithms work.
T12. Governments should introduce stricter regulations for Artificial Intelligence.,T12,T,Technology & AI,Governments should introduce stricter regulations for Artificial Intelligence.
T13. Cybersecurity deserves greater investment than the development of new digital technologies.,T13,T,Technology & AI,Cybersecurity deserves greater investment than the development of new digital technologies.
T14. Social media algorithms contribute to opinion polarization.,T14,T,Technology & AI,Social media algorithms contribute to opinion polarization.
T15. Society will increasingly depend on AI-assisted decision making.,T15,T,Technology & AI,Society will increasingly depend on AI-assisted decision making.
E01. Project-based learning develops deeper understanding than examination-oriented learning.,E01,E,Education,Project-based learning develops deeper understanding than examination-oriented learning.
